Temps;Mouvement X{2}
0;0,397445258473126
NAN;NAN
0,0666666;0,393080725778843
0,0999999;0,389807326258131
0,1333332;0,386533926737419
0,1666665;0,381078260869565
0,1999998;0,376713728175282
0,2333331;0,370166929133858
0,2666664;0,363620130092434
0,2999997;0,355982197877439
0,333333;0,348344265662444
0,3666663;0,339615200273879
0,3999996;0,329795001711743
0,4333329;0,317792536802465
0,4666662;0,311245737761041
0,4999995;0,304698938719617
0,5333328;0,305790071893187
0,5666661;0,307972338240329
0,5999994;0,309063471413899
0,6333327;0,31015460458747
0,666666;0,306881205066758
0,6999993;0,301425539198904
0,7333326;0,298152139678192
0,7666659;0,295969873331051
0,7999992;0,29487874015748
0,8333325;0,29378760698391
0,8666658;0,290514207463198
0,8999991;0,286149674768915
0,9333324;0,283967408421773
0,9666657;0,280694008901061
0,999999;0,277420609380349
1,0333323;0,276329476206779
1,0666656;0,274147209859637
1,0999989;0,269782677165354
1,1333322;0,267600410818213
1,1666655;0,26323587812393
1,1999988;0,262144744950359
1,2333321;0,259962478603218
1,2666654;0,256689079082506
1,2999987;0,252324546388223
1,333332;0,251233413214653
1,3666653;0,24796001369394
1,3999986;0,244686614173228
1,4333319;0,241413214652516
1,4666652;0,237048681958233
1,4999985;0,235957548784663
1,5333318;0,233775282437521
1,5666651;0,23159301609038
1,5999984;0,228319616569668
1,6333317;0,225046217048956
1,666665;0,222863950701815
1,6999983;0,219590551181102
1,7333316;0,21631715166039
1,7666649;0,213043752139678
